Celsius, Fahrenheit
-100-148
-99-146,2
-98-144,4
-97-142,6
-96-140,8
-95-139
-94-137,2
-93-135,4
-92-133,6
-91-131,8
-90-130
-89-128,2
-88-126,4
-87-124,6
-86-122,8
-85-121
-84-119,2
-83-117,4
-82-115,6
-81-113,8
-80-112
-79-110,2
-78-108,4
-77-106,6
-76-104,8
-75-103
-74-101,2
-73-99,4
-72-97,6
-71-95,8
-70-94
-69-92,2
-68-90,4
-67-88,6
-66-86,8
-65-85
-64-83,2
-63-81,4
-62-79,6
-61-77,8
-60-76
-59-74,2
-58-72,4
-57-70,6
-56-68,8
-55-67
-54-65,2
-53-63,4
-52-61,6
-51-59,8
-50-58
-49-56,2
-48-54,4
-47-52,6
-46-50,8
-45-49
-44-47,2
-43-45,4
-42-43,6
-41-41,8
-40-40
-39-38,2
-38-36,4
-37-34,6
-36-32,8
-35-31
-34-29,2
-33-27,4
-32-25,6
-31-23,8
-30-22
-29-20,2
-28-18,4
-27-16,6
-26-14,8
-25-13
-24-11,2
-23-9,4
-22-7,6
-21-5,8
-20-4
-19-2,2
-18-0,399999999999999
-171,4
-163,2
-155
-146,8
-138,6
-1210,4
-1112,2
-1014
-915,8
-817,6
-719,4
-621,2
-523
-424,8
-326,6
-228,4
-130,2
032
133,8
235,6
337,4
439,2
541
642,8
744,6
846,4
948,2
1050
1151,8
1253,6
1355,4
1457,2
1559
1660,8
1762,6
1864,4
1966,2
2068
2169,8
2271,6
2373,4
2475,2
2577
2678,8
2780,6
2882,4
2984,2
3086
3187,8
3289,6
3391,4
3493,2
3595
3696,8
3798,6
38100,4
39102,2
40104
41105,8
42107,6
43109,4
44111,2
45113
46114,8
47116,6
48118,4
49120,2
50122
51123,8
52125,6
53127,4
54129,2
55131
56132,8
57134,6
58136,4
59138,2
60140
61141,8
62143,6
63145,4
64147,2
65149
66150,8
67152,6
68154,4
69156,2
70158
71159,8
72161,6
73163,4
74165,2
75167
76168,8
77170,6
78172,4
79174,2
80176
81177,8
82179,6
83181,4
84183,2
85185
86186,8
87188,6
88190,4
89192,2
90194
91195,8
92197,6
93199,4
94201,2
95203
96204,8
97206,6
98208,4
99210,2
100212
